Overall rank,Country,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Rank,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,Cluster
1,Finland,7.769,1.34,1.587,0.986,0.596,0.153,0.393,17,63.2,19.7,42.4,63.0,63.6,118.0,Pori,30,Good,1,Good,30,Good,1,Good,15,Good,"(4, 1)"
2,Denmark,7.6,1.383,1.573,0.996,0.592,0.252,0.41,7,72.3,26.4,50.2,64.8,81.3,127.2,Frederikssund,36,Good,1,Good,36,Good,0,Good,25,Good,"(3, 1)"
3,Norway,7.554,1.488,1.582,1.028,0.603,0.271,0.341,6,76.0,26.2,52.1,79.0,73.5,114.7,Kristiansand,52,Moderate,0,Good,34,Good,1,Good,52,Moderate,"(3, 0)"
4,Iceland,7.494,1.38,1.624,1.026,0.591,0.354,0.118,3,83.0,39.2,62.0,88.4,86.8,120.3,Reykjavik,23,Good,1,Good,23,Good,0,Good,22,Good,"(3, 0)"
5,Netherlands,7.488,1.396,1.522,0.999,0.557,0.322,0.298,18,63.1,33.5,48.9,59.9,61.2,124.9,Raalte,41,Good,1,Good,24,Good,6,Good,41,Good,"(4, 2)"
6,Switzerland,7.48,1.452,1.526,1.052,0.572,0.263,0.343,1,101.1,46.5,74.9,109.1,97.0,158.7,Wil,59,Moderate,1,Good,27,Good,3,Good,59,Moderate,"(2, 0)"
7,Sweden,7.343,1.387,1.487,1.009,0.574,0.267,0.373,25,59.3,20.9,40.9,60.8,54.7,122.6,Hoganas,36,Good,1,Good,36,Good,1,Good,30,Good,"(4, 0)"
8,New Zealand,7.307,1.303,1.557,1.026,0.585,0.33,0.38,13,64.6,25.9,46.0,71.9,57.1,121.0,Tauranga,19,Good,0,Good,19,Good,1,Good,17,Good,"(3, 2)"
9,Canada,7.278,1.365,1.505,1.039,0.584,0.285,0.308,12,64.8,33.2,49.6,71.2,61.7,103.7,Whitehorse,20,Good,1,Good,20,Good,1,Good,10,Good,"(3, 2)"
10,Austria,7.246,1.376,1.475,1.016,0.532,0.244,0.226,11,65.1,22.5,44.7,66.4,59.3,102.4,Klosterneuburg,59,Moderate,1,Good,30,Good,3,Good,59,Moderate,"(0, 9)"
11,Australia,7.228,1.372,1.548,1.036,0.557,0.332,0.29,10,70.2,33.4,52.5,77.3,62.5,127.4,Geraldton,29,Good,0,Good,29,Good,0,Good,13,Good,"(3, 2)"
12,Costa Rica,7.167,1.034,1.441,0.963,0.558,0.144,0.093,33,52.3,16.7,35.2,56.1,43.1,46.2,Limon,51,Moderate,1,Good,24,Good,0,Good,51,Moderate,"(5, 1)"
13,Israel,7.139,1.276,1.455,1.029,0.371,0.261,0.082,19,62.7,27.1,45.6,59.6,68.0,99.4,Tamra,92,Moderate,2,Good,52,Moderate,8,Good,92,Moderate,"(7, 8)"
